org_node_id,parent_org_node_id,node_type,node_name,ref_id,path
ORG_SEC_central_services_repair___retread_operation_SITE_petrosea_sda,ORG_SEC_central_services_repair___retread_operation,site,Petrosea SDA,SITE_petrosea_sda,HERO > Central Services > Repair / Retread Operation > Petrosea SDA
ORG_SEC_central_services_repair___retread_operation_SITE_petrosea_sda_WORK_repair___retread___ck_bib,ORG_SEC_central_services_repair___retread_operation_SITE_petrosea_sda,work_location,Repair & Retread - CK BIB,WORK_repair___retread___ck_bib,HERO > Central Services > Repair / Retread Operation > Petrosea SDA > Repair & Retread - CK BIB
ORG_SEC_central_services_repair___retread_operation_SITE_petrosea_sda_WORK_repair___retread___kpuc_malinau,ORG_SEC_central_services_repair___retread_operation_SITE_petrosea_sda,work_location,Repair & Retread - KPUC Malinau,WORK_repair___retread___kpuc_malinau,HERO > Central Services > Repair / Retread Operation > Petrosea SDA > Repair & Retread - KPUC Malinau
ORG_SEC_central_services_repair___retread_operation_SITE_sis_adaro,ORG_SEC_central_services_repair___retread_operation,site,SIS Adaro,SITE_sis_adaro,HERO > Central Services > Repair / Retread Operation > SIS Adaro
ORG_SEC_central_services_repair___retread_operation_SITE_sis_adaro_WORK_repair___retread___balikpapan,ORG_SEC_central_services_repair___retread_operation_SITE_sis_adaro,work_location,Repair & Retread - Balikpapan,WORK_repair___retread___balikpapan,HERO > Central Services > Repair / Retread Operation > SIS Adaro > Repair & Retread - Balikpapan
ORG_SEC_central_services_repair___retread_operation_SITE_sangatta,ORG_SEC_central_services_repair___retread_operation,site,Sangatta,SITE_sangatta,HERO > Central Services > Repair / Retread Operation > Sangatta
ORG_SEC_central_services_repair___retread_operation_SITE_sangatta_WORK_repair___retread___ppa_bukit_asam,ORG_SEC_central_services_repair___retread_operation_SITE_sangatta,work_location,Repair & Retread - PPA Bukit Asam,WORK_repair___retread___ppa_bukit_asam,HERO > Central Services > Repair / Retread Operation > Sangatta > Repair & Retread - PPA Bukit Asam
ORG_SEC_central_services_repair___retread_operation_SITE_sangatta_WORK_repair___retread___sangatta,ORG_SEC_central_services_repair___retread_operation_SITE_sangatta,work_location,Repair & Retread - Sangatta,WORK_repair___retread___sangatta,HERO > Central Services > Repair / Retread Operation > Sangatta > Repair & Retread - Sangatta
ORG_SEC_central_services_repair___retread_operation_SITE_vale___sorowako,ORG_SEC_central_services_repair___retread_operation,site,Vale - Sorowako,SITE_vale___sorowako,HERO > Central Services > Repair / Retread Operation > Vale - Sorowako
ORG_SEC_central_services_repair___retread_operation_SITE_vale___sorowako_WORK_repair___retread___vale_sorowako,ORG_SEC_central_services_repair___retread_operation_SITE_vale___sorowako,work_location,Repair & Retread - Vale Sorowako,WORK_repair___retread___vale_sorowako,HERO > Central Services > Repair / Retread Operation > Vale - Sorowako > Repair & Retread - Vale Sorowako
ORG_SEC_central_services_service_operation_mvc,ORG_DEPT_central_services,section,Service Operation MVC,SEC_central_services_service_operation_mvc,HERO > Central Services > Service Operation MVC
ORG_SEC_central_services_service_operation_mvc_SITE_balikpapan,ORG_SEC_central_services_service_operation_mvc,site,Balikpapan,SITE_balikpapan,HERO > Central Services > Service Operation MVC > Balikpapan
